"x" "y" "alt"
"54090" -48.2870947971802 -1.34996512031798 26
"42946" -48.3314278257242 -1.12873372759476 19
"39263" -48.3583808017385 -1.33296067992618 19
"66208" -48.2837359638729 -1.45534179264469 17
"44423" -48.2668664598386 -1.40700707325197 13
"51054" -48.2620484996274 -1.24642005292411 20
"42548" -48.363765666703 -1.35740482550665 14
"24591" -48.3812490626035 -1.17196920363115 30
"69902" -48.3413393683527 -1.31018005933393 16
"4861" -48.2584648258241 -1.22368362275147 20
"24872" -48.3832952629717 -1.25631969041865 12
"67514" -48.3658046159604 -1.11930731291823 33
"9389" -48.4689548362663 -1.34429692453651 13
"5952" -48.3553727879624 -1.06842487478598 15
"12730" -48.2699184167234 -1.40728994546116 27
"15732" -48.3531050984398 -1.41168761255481 26
"78490" -48.2347299922713 -1.36321736638843 35
"33809" -48.3706483715033 -1.40712719017266 21
"10826" -48.3828163966075 -1.44447398675386 18
"61387" -48.246321291887 -1.4170363925132 24
"43107" -48.2417391877405 -1.2980072868154 18
"5689" -48.3795419074409 -1.35267401368485 11
"71359" -48.3034553860283 -1.44056371186103 17
"22140" -48.4293516916051 -1.26418641373336 9
"61318" -48.3316736203519 -1.26576290885662 12
"14727" -48.2369321307132 -1.11234585369071 15
"50663" -48.2463809178354 -1.36565113674198 27
"72477" -48.4326107295753 -1.46208118714888 6
"21227" -48.1641864835645 -1.17161672168566 24
"14571" -48.4016128082391 -1.10355880391358 10
"35225" -48.2608226790325 -1.22421666506249 18
"37464" -48.5021019772618 -1.36062529213804 19
"67384" -48.3235246048419 -1.36168924574311 23
"43214" -48.3089553744214 -1.19647709667011 29
"52591" -48.2317995161089 -1.25225276798738 32
"39497" -48.2885948721275 -1.33162754673052 34
"60184" -48.5403240001974 -1.26625000342463 15
"16471" -48.2958238017407 -1.18277937345479 24
"12303" -48.4515682692051 -1.5083294799783 20
"50210" -48.3565988790748 -1.17292341180979 27
"75913" -48.3682713292132 -1.20230717692028 35
"21465" -48.416197126236 -1.16306405965171 18
"32721" -48.2391849129226 -1.42922246780832 20
"43852" -48.3549244759408 -1.32136627245159 15
"59296" -48.3773331932669 -1.10409594063213 30
"2529" -48.2795197363682 -1.25509584704168 24
"75480" -48.2368308615343 -1.12174772294538 26
"25208" -48.3334373174969 -1.16508119960719 21
"2898" -48.5473209999065 -1.23608845474535 17
"77605" -48.2734537110554 -1.21766667488067 35
"73157" -48.3861945658732 -1.40183807974151 24
"50610" -48.4633910627053 -1.35723281254627 10
"79605" -48.2101386340863 -1.27066078008759 23
"50668" -48.3254603820697 -1.36769606925628 14
"18621" -48.4659895665027 -1.51742425603033 20
"13256" -48.3892841376511 -1.08148312082363 10
"11731" -48.2431627125703 -1.3893851462724 35
"39987" -48.491859874724 -1.46536084137218 10
"11110" -48.4161068781364 -1.08150623796443 4
"25979" -48.4327638863069 -1.17760345313214 26
"33142" -48.2356812144058 -1.42000246243048 21
"18312" -48.2652607437693 -1.22547795525431 25
"18477" -48.4414620212841 -1.36223717762645 10
"34292" -48.3296855096031 -1.43472978430741 25
"72577" -48.303100831145 -1.25875110403805 20
"48522" -48.3810432217486 -1.28815753459987 27
"70099" -48.2660341197601 -1.1442102925339 24
"76097" -48.3465045373403 -1.40821682576841 16
"29930" -48.3824038206725 -1.31420362289616 6
"74050" -48.3183775321074 -1.27723469440211 20
"32180" -48.3185842531885 -1.3115520627779 25
"18553" -48.3666401157658 -1.26216805615678 16
"16844" -48.445722689339 -1.44249776650013 22
"51584" -48.2638398903691 -1.11711874137555 19
"22900" -48.3540452803595 -1.2029450135233 19
"69044" -48.3700936775664 -1.40684726395864 25
"67165" -48.3866983904942 -1.18035335038376 17
"44321" -48.3192981733086 -1.15263948407565 18
"697" -48.4316225194025 -1.21139898081618 14
"56994" -48.3948848690672 -1.32029158830277 11
"16112" -48.2615117322779 -1.22873227005477 22
"32310" -48.4097210655874 -1.34887616676383 15
"27882" -48.4331272834982 -1.37102653746997 16
"21887" -48.5022131182157 -1.45182520458355 14
"22396" -48.4071743630576 -1.49919927894811 19
"43707" -48.4674009891624 -1.49689605721307 20
"37290" -48.4189119831134 -1.15273216952614 14
"8914" -48.4029499842124 -1.15997946682038 24
"16620" -48.4320112047814 -1.24030800575716 8
"59436" -48.2656842796817 -1.21821729505844 32
"36209" -48.2414375087519 -1.18034434376108 21
"79841" -48.2667756736911 -1.23637116548368 25
"24080" -48.3638736697075 -1.25378637080329 13
"3812" -48.4613215213484 -1.3898175871986 31
"43790" -48.4178261695254 -1.12563833335871 22
"28494" -48.4782119473503 -1.50822107077757 22
"3143" -48.2313828420381 -1.37847995629017 32
"5782" -48.3118580635656 -1.24221265789555 20
"77928" -48.3644593771967 -1.12391447601112 34
"25888" -48.4494608146156 -1.46587126561307 5
"32757" -48.4433921945393 -1.37397038281048 12
"15899" -48.3802308549172 -1.2683264593407 27
"3730" -48.3374333151558 -1.3301450685493 8
"56467" -48.3305933650678 -1.23643656180765 10
"48800" -48.3636514260491 -1.34638523441389 22
"57312" -48.3194326612549 -1.29647157543328 18
"29799" -48.4190817290543 -1.26668992392361 14
"15483" -48.2402933920191 -1.35084297023728 39
"22563" -48.4068818161203 -1.25662267706559 17
"22714" -48.4322923343748 -1.23653758590912 7
"57917" -48.2571466437853 -1.15369696280658 22
"22995" -48.2673956939642 -1.1710218466983 19
"27445" -48.1895186229722 -1.16912913836931 31
"47603" -48.4227916457792 -1.43288214913554 27
"53778" -48.4067912921153 -1.20676662929526 13
"2816" -48.2476968679838 -1.17072316721019 29
"12318" -48.4200113778731 -1.43741774705323 17
"10612" -48.3896833886775 -1.38368743481073 14
"65656" -48.2292325864673 -1.3170393343374 53
"53267" -48.2550001756348 -1.26493759649774 14
"17071" -48.3683992664507 -1.43281988266796 17
"16364" -48.2294430532148 -1.11038392955455 16
"50586" -48.4615462201742 -1.26002855473166 14
"13162" -48.372343284893 -1.38017694372886 17
"54984" -48.2097536801302 -1.17790891432997 25
"19851" -48.3681636978147 -1.17927442041883 22
"19172" -48.4293948056959 -1.35789494225763 22
"63125" -48.3767243362063 -1.13353346647059 35
"56152" -48.3544515863607 -1.09304342745348 20
"27778" -48.2663620313385 -1.18774618947061 36
"77468" -48.3130340528488 -1.3121046356527 13
"62299" -48.306487123532 -1.20233958821994 15
"14662" -48.1896791472512 -1.2025002634905 34
"9456" -48.3945558113166 -1.36888981712289 20
"54902" -48.3239558814265 -1.2143662061622 18
"3268" -48.4399941882508 -1.3056748814053 17
"33012" -48.2864438941398 -1.39404368664994 38
"42741" -48.5394926526976 -1.29725525089541 20
"30677" -48.4372494703433 -1.12649352542617 2
"16196" -48.4486472547523 -1.39059522469941 35
"56919" -48.5125963457037 -1.27284742643649 17
"14352" -48.2267473760593 -1.12504273780643 20
"41250" -48.276524704531 -1.19867906973305 24
"5141" -48.2886554249749 -1.40130747912518 42
"33328" -48.4613623242625 -1.43739458316726 19
"34168" -48.1680488469998 -1.19298325892461 38
"14731" -48.2674757525503 -1.18377541059081 32
"17477" -48.2940604344733 -1.40648043829321 18
"31358" -48.3170372470518 -1.1958334039977 20
"33338" -48.3886564261198 -1.43368112624366 14
"45887" -48.3023695668764 -1.41989561815279 21
"962" -48.2010519301963 -1.20474609351183 29
"30515" -48.4623436321071 -1.29578193964992 17
"42639" -48.4366620273915 -1.43792542300428 13
"8195" -48.3750873313444 -1.13342025323343 30
"16491" -48.3766701889576 -1.47975148955836 17
"72826" -48.392302230713 -1.12072767377292 21
"17171" -48.334901191584 -1.2294586982051 19
"47797" -48.4411375996334 -1.12272624340448 18
"33494" -48.4247400995911 -1.15175990154318 10
"15702" -48.4506142747148 -1.36769357835329 29
"8967" -48.4397733736312 -1.24841563704039 7
"62317" -48.2960608113132 -1.22383376804921 12
"26091" -48.5247775074122 -1.3036654023007 20
"66550" -48.3800780606685 -1.41202560284187 16
"75665" -48.239270772629 -1.27125083458912 43
"50999" -48.5142749595132 -1.2586831160544 22
"9679" -48.3969440323032 -1.20298656732838 14
"78682" -48.2377698986403 -1.10648204687226 17
"43827" -48.3988161133971 -1.27504861574714 30
"27715" -48.2814594702512 -1.34390779367649 35
"67018" -48.2966119171366 -1.3586866675454 30
"77470" -48.3320988281054 -1.11196857840346 28
"16804" -48.3421318542723 -1.06133296726354 25
"49981" -48.2848451850631 -1.29224530085371 38
"31648" -48.4504109153342 -1.24847259866911 20
"5790" -48.2642250942043 -1.28747538771931 31
"63115" -48.3739216069181 -1.19374752394603 37
"63263" -48.2411248476503 -1.35168172181801 31
"68173" -48.289265707957 -1.22103407616582 12
"30353" -48.5181447958884 -1.2748879222838 26
"2385" -48.284948609541 -1.42065085051214 18
"45473" -48.2708654001327 -1.38820735064678 35
"37866" -48.3678482371023 -1.42932804508914 21
"25448" -48.235789080467 -1.14753229328386 9
"68331" -48.4254918225629 -1.49852277164767 11
"61011" -48.2678334071774 -1.41063876397525 29
"9968" -48.3091788888739 -1.28417217418273 26
"7076" -48.3297539378419 -1.24341790431509 12
"68618" -48.2699154894119 -1.4098034041853 18
"20592" -48.3643555811319 -1.18633697180214 17
"41957" -48.3097372840005 -1.28087722622477 27
"45543" -48.2986717044822 -1.21416632711723 14
"60956" -48.2674735504107 -1.30154894634529 41
"16826" -48.3209319673291 -1.44533232171869 24
"18031" -48.2288921792403 -1.2465945742124 38
"18338" -48.3187332657562 -1.16325179037533 23
"27202" -48.2945529346844 -1.4596837124385 15
"65213" -48.2592025082389 -1.17953156994038 8
"36654" -48.3411991298168 -1.43697760701477 13
"30806" -48.4164796824284 -1.0781548679404 18
"39105" -48.3623353476704 -1.12028170592956 37
"19795" -48.2477813040655 -1.14067392690144 10
"74342" -48.2433711417091 -1.32794655624778 40
"33009" -48.1873498880558 -1.17387427546325 33
"5776" -48.2268426928535 -1.21622246988949 27
"60628" -48.3661071977821 -1.09081937655482 18
"54327" -48.361244382559 -1.37918703815907 21
"76950" -48.3758087728975 -1.2505865174068 12
"67686" -48.4005898405468 -1.16165310733865 28
"3554" -48.2405074834825 -1.40585875892132 20
"28544" -48.2388315568879 -1.15730958741681 19
"42229" -48.3783902051882 -1.23155572856838 30
"40385" -48.4401373166158 -1.30134568727582 29
"36475" -48.3691433800218 -1.25630537866099 27
"1210" -48.262916563415 -1.17125682160825 14
"73715" -48.3371800013053 -1.16843623894756 11
"17888" -48.4907540755168 -1.46144907251396 17
"60635" -48.4672679229233 -1.50914598508734 13
"73977" -48.1787034519427 -1.2188251160828 22
"23990" -48.4127593108839 -1.20467755424631 15
"25755" -48.3934415114453 -1.18994909885404 10
"55095" -48.3702648675401 -1.09585038718702 17
"4338" -48.2270559551659 -1.27752108609524 44
"60571" -48.4767429397311 -1.32708029395016 18
"57353" -48.4251850545185 -1.26837189266273 25
"193" -48.4408136161708 -1.44798535253871 23
"5363" -48.3745050952027 -1.16330460798148 17
"74181" -48.5528645376429 -1.24363569278776 21
"49438" -48.3620958367396 -1.36187170933497 9
"27179" -48.2475301877498 -1.33060427427059 33
"66521" -48.2998513230772 -1.17831482812069 26
"24010" -48.4223538214382 -1.32395142940998 10
"37380" -48.3964578298991 -1.2746272610011 29
"78008" -48.3757603398498 -1.42654418504835 19
"75972" -48.4689830820425 -1.31659786408612 10
"76003" -48.4508527937667 -1.40414437663215 16
"42879" -48.4226275696289 -1.32758272551051 10
"72122" -48.451454909823 -1.3600133236697 14
"22620" -48.4864885212241 -1.42848426072008 10
"21454" -48.2626610403238 -1.4435867197515 19
"32124" -48.4316074554798 -1.17783513916117 25
"29292" -48.3433334357062 -1.39033859508393 16
"20282" -48.3947464407431 -1.4470946094483 22
"764" -48.2132056047105 -1.18939931125434 31
"50207" -48.4234364602624 -1.16139487162918 14
"7192" -48.3997429696765 -1.44598316996171 19
"42492" -48.2613796701806 -1.35212371822987 27
"25841" -48.2841589814376 -1.19449754696909 19
"9904" -48.2793171415834 -1.36915990884492 50
"69189" -48.3860648722781 -1.26162919018565 22
"26666" -48.2954482559117 -1.14004917439151 10
"51239" -48.4587902693643 -1.43288274210984 22
"935" -48.3394686055443 -1.19329523458876 22
"37786" -48.2613974069629 -1.14348771014532 20
"52968" -48.5317404506234 -1.27797373578799 18
"77044" -48.4144547294616 -1.26873352833414 20
"47015" -48.480991357805 -1.50473280153841 21
"51354" -48.3429356573968 -1.09428999697001 14
"49763" -48.1916863678698 -1.22893851809106 33
"36224" -48.3436652730671 -1.13161091849718 27
"26797" -48.217899495814 -1.27793000971383 35
"7992" -48.2636032000754 -1.2183548035462 31
"16984" -48.2410432710983 -1.16541050423028 21
"1293" -48.3457005539712 -1.38280041694093 23
"49879" -48.401186593855 -1.11500989422008 28
"29871" -48.5372370888999 -1.333287020838 13
"36664" -48.3987795577697 -1.31093903916999 9
"56401" -48.3961338711492 -1.21597336664563 12
"45705" -48.3330342541726 -1.39401350603777 33
"54459" -48.2356491501566 -1.14878885387894 14
"22339" -48.3386362795264 -1.24035475045311 14
"72575" -48.410715831002 -1.39460356677754 11
"19971" -48.429773290038 -1.25874028682353 17
"74664" -48.3498433346665 -1.40040047501281 26
"36439" -48.3574218899589 -1.32136894909515 10
"62548" -48.399311110443 -1.19405112925964 18
"74576" -48.369151254175 -1.13900076486041 10
"24124" -48.3608188046551 -1.20937540078952 17
"1077" -48.2743713218626 -1.12969597893806 16
"53839" -48.4633211189766 -1.14090135999065 9
"63462" -48.201194009222 -1.18622214817154 22
"42971" -48.4070043378378 -1.12562866249804 18
"24026" -48.3316761888066 -1.26324931857114 13
"54372" -48.3137954660409 -1.37703895794434 29
"21873" -48.3783332816718 -1.07058095435131 30
"57699" -48.3243572219805 -1.36155053342239 16
"53503" -48.3840447425285 -1.24673114704311 15
"54475" -48.4773520602451 -1.27261343765072 18
"57388" -48.4546384101567 -1.43187057082197 20
"12922" -48.402395708515 -1.30251714964442 11
"658" -48.2559630437452 -1.22826108465834 17
"37119" -48.2365312358612 -1.23787559683392 38
"32008" -48.375756535555 -1.42989575422334 23
"20394" -48.4150451044278 -1.411366754818 29
"24875" -48.2592619944262 -1.25786725935893 20
"30664" -48.5318584961649 -1.2994824207499 11
"13014" -48.3878659598346 -1.1928531721214 15
"38827" -48.3979059168285 -1.35018018724482 16
"1601" -48.3084698206248 -1.42381273336062 17
"16929" -48.2458410447643 -1.26772050429355 24
"20558" -48.3164545528008 -1.35637492567179 11
"46543" -48.3602093411568 -1.43588263164773 17
"65178" -48.4307077328071 -1.14994980761833 19
"33692" -48.3689966671913 -1.1180533632331 23
"28966" -48.3188703563305 -1.38807646760679 20
"79222" -48.4302551126377 -1.4591457200746 7
"15392" -48.3249090401504 -1.23252078700147 20
"51703" -48.3125408967268 -1.25289596065818 15
"62506" -48.4841566249065 -1.40334274089113 7
"53809" -48.2762985495085 -1.14561650391755 15
"38023" -48.3319197504321 -1.15600288189451 24
"45385" -48.2649166547765 -1.24539905462755 17
"17730" -48.3115979998065 -1.28656134182767 21
"11875" -48.2465414433165 -1.34638181722158 35
"24625" -48.4063648999683 -1.39757799303545 15
"76482" -48.2754940982889 -1.38467524383334 28
"49006" -48.4711890244783 -1.27495364116653 20
"70192" -48.3027411938625 -1.20247550431518 23
"16278" -48.4634185609403 -1.41821710546643 5
"38591" -48.3507659743566 -1.31773100928173 14
"77021" -48.3747892421011 -1.27111388508954 13
"30503" -48.2250045476253 -1.10982120939459 16
"24960" -48.3881653618756 -1.09181629435181 16
"42829" -48.2559449561884 -1.24585511382917 30
"37691" -48.3296756651294 -1.31896512554807 15
"42588" -48.2266204454606 -1.16092801723679 33
"21504" -48.4782687366157 -1.45808314939126 11
"42574" -48.2506215480641 -1.29472165099456 29
"6083" -48.4056351631308 -1.38817392869962 23
"20516" -48.341736591815 -1.45205990075062 21
"74750" -48.2794469603881 -1.18960551973799 29
"43408" -48.5007443407006 -1.46243792594353 6
"40146" -48.2464642720562 -1.29038844886196 17
"46671" -48.365193553794 -1.18047256271627 25
"18065" -48.4542221423591 -1.36755777707773 29
"11498" -48.4500004179157 -1.42229886800319 19
"39758" -48.3422186175928 -1.20930126411788 18
"73487" -48.3746387078353 -1.26445713252003 8
"62308" -48.3983406687215 -1.25489840492764 10
"28263" -48.3375120415411 -1.40960294576876 23
"1795" -48.3205366683909 -1.23468082379795 19
"77666" -48.3807640997691 -1.14613355320057 18
"37091" -48.2314342789865 -1.1318892132076 26
"31873" -48.4322711821595 -1.39295148294362 21
"10266" -48.5555388130642 -1.23268817156779 15
"352" -48.4644171811499 -1.15668379288427 8
"38992" -48.2304268084901 -1.36535341241506 37
"54543" -48.4626442014066 -1.36374942317822 14
"29771" -48.3564883091682 -1.41372102086857 12
"35776" -48.3095434296863 -1.45481437623792 16
"78117" -48.2946041029848 -1.41625584899458 16
"65695" -48.3354128227257 -1.1291944263979 22
"72418" -48.2481074037047 -1.31035794813486 33
"54480" -48.2503234593753 -1.31371162872069 29
"61361" -48.538086236897 -1.3165278758538 18
"67098" -48.4886127963589 -1.38854346139543 13
"57600" -48.2468788821541 -1.41480291471827 22
"28162" -48.2717107360884 -1.29306895028451 31
"57897" -48.3922408208531 -1.45407424635833 2
"23712" -48.5424945795627 -1.34893502800634 13
"1035" -48.3673112099665 -1.14095414732037 29
"25223" -48.3423354095068 -1.41407713849802 17
"71330" -48.2470142294108 -1.2949969770468 17
"18456" -48.3784379313999 -1.10996219987734 29
"67452" -48.4150713069252 -1.10273269255032 12
"73450" -48.3337108926938 -1.30793758738423 8
"31442" -48.2566826298153 -1.24799696330493 21
"75048" -48.3609386976863 -1.13061435358132 32
"64465" -48.4322507669435 -1.13095806761552 14
"13124" -48.4252398891149 -1.47645708704389 19
"32901" -48.3003790253754 -1.20624344626287 36
"40820" -48.2206539145615 -1.29650394734451 22
"20429" -48.2356937996409 -1.24276186957384 36
"28167" -48.1948256834653 -1.18882204412843 32
"10423" -48.4636882421668 -1.33823954500136 21
"46146" -48.4507224005999 -1.4593437397032 8
"21445" -48.3477628862445 -1.39969987658737 20
"25668" -48.2512621646751 -1.21261712573691 39
"71701" -48.404245618804 -1.2566200402976 11
"72038" -48.2840846518364 -1.39459950128929 39
"68216" -48.2964873213207 -1.21350083780937 20
"67372" -48.380079377363 -1.10149158552055 13
"31606" -48.3048206798106 -1.20401362410102 22
"35957" -48.3179973997203 -1.26978563818558 19
"3517" -48.3105113248456 -1.20627281164748 27
"74507" -48.334368600211 -1.42444816007703 19
"34389" -48.3933925575235 -1.14265387868211 28
"8347" -48.4383525047545 -1.41502377485723 27
"73056" -48.2393579949523 -1.18635385024672 20
"64143" -48.5274899719993 -1.22336036360305 19
"61427" -48.3381073574352 -1.06286557565957 6
"47651" -48.2733592215747 -1.17284298163209 19
"44521" -48.4570262470371 -1.33981073422843 14
"33529" -48.3187460632428 -1.4160048154872 9
"73412" -48.4280632999619 -1.1591646364212 12
"35883" -48.2565871832043 -1.15844402450444 25
"23675" -48.4556467669816 -1.33194655656115 8
"61475" -48.402604131143 -1.08009810851109 12
"53430" -48.4392456377153 -1.21992527093346 12
"78387" -48.236982223233 -1.20380559910737 28
"54747" -48.247996710719 -1.147544148761 21
"72249" -48.1739011854012 -1.16701896506036 26
"44137" -48.292714647456 -1.36989332815851 26
"77994" -48.3571026734508 -1.07558989263561 28
"20808" -48.2478654559345 -1.40167847861048 27
"79321" -48.243161928723 -1.12589620929587 20
"28841" -48.2707419198345 -1.15357049340404 15
"17460" -48.3691772946564 -1.22195192427665 19
"34302" -48.2448310106536 -1.26078426825477 26
"27421" -48.428646424621 -1.40858884120512 16
"8532" -48.4846585192002 -1.45222459146006 23
"4358" -48.274161996706 -1.2228140336403 23
"51543" -48.4277868187328 -1.15804714413153 11
"67359" -48.5184487835928 -1.24695528783426 11
"61688" -48.3724887581658 -1.24066811514701 11
"44972" -48.2597751697896 -1.36015094463319 37
"65299" -48.5411228079444 -1.33301159775307 21
"71208" -48.4498844370017 -1.26672063372011 22
"50723" -48.2598230249906 -1.25200315159931 26
"45016" -48.3923341765086 -1.235520804042 16
"72410" -48.2522733304582 -1.3067320486032 32
"21031" -48.4358605622074 -1.1281681649212 16
"50045" -48.5578783386935 -1.22352805775007 12
"41484" -48.318508301768 -1.10627737441891 13
"42192" -48.3881530024897 -1.25464877991992 18
"38281" -48.3489689306251 -1.31144501495794 12
"34626" -48.4001564675184 -1.37347651355498 19
"40183" -48.4426306514352 -1.30553792707693 32
"22235" -48.2467090551493 -1.32041005931084 33
"16750" -48.3509379036711 -1.14359229114292 9
"60243" -48.5071251207225 -1.46481934585869 9
"37981" -48.3945421735657 -1.38145839678054 25
"24550" -48.2737272344286 -1.2215768006181 27
"1301" -48.44027395518 -1.30344066951948 31
"23205" -48.376740400851 -1.41877151527568 9
"72958" -48.4082019934452 -1.32309865691741 7
"20420" -48.159595595734 -1.18473667730434 31
"79051" -48.3136295502126 -1.27356409884974 18
"51706" -48.2913552278855 -1.3447567015679 24
"15560" -48.2166220780943 -1.30445843040724 31
"77877" -48.4134175805198 -1.24168630371934 20
"64522" -48.3423830704282 -1.4209477341015 22
"69845" -48.3682029420724 -1.29428873194552 18
"2998" -48.4162022382121 -1.36807548225914 15
"62152" -48.4309163418716 -1.22452589726022 30
"1479" -48.2574939679577 -1.35309674833427 32
"49077" -48.3583303472928 -1.3794630768648 24
"63841" -48.4673148202831 -1.37931860264196 8
"46421" -48.4472195250842 -1.32302766984822 16
"58815" -48.3178704096715 -1.45305555700286 18
"56828" -48.2630063170233 -1.38577784538842 41
"6457" -48.3904943854132 -1.27196781951696 27
"29189" -48.5628485217005 -1.25118713905457 9
"25030" -48.4598798246125 -1.26142350254447 15
"64359" -48.3748715804617 -1.35183103729681 19
"17885" -48.4789502876254 -1.33965199213819 11
"70236" -48.261158668678 -1.16515100533076 22
"24097" -48.2955987148253 -1.26879735250382 9
"59596" -48.2471807196941 -1.39399779100048 19
"26083" -48.3960565196093 -1.2596841614902 14
"10996" -48.4494212614019 -1.3586145892476 19
"48427" -48.4372444520137 -1.13221941640543 7
"75819" -48.3455264406617 -1.28644477812917 8
"2125" -48.3816697506135 -1.216098926877 27
"10002" -48.2435626290552 -1.14223375988797 31
"58902" -48.3853931963974 -1.37348822538611 28
"71942" -48.3686099390067 -1.15120952202612 26
"56909" -48.4246676021939 -1.12927544600473 19
"45517" -48.3917283069608 -1.14195410267849 11
"13433" -48.3969787142926 -1.16583930466456 32
"68729" -48.2223228760111 -1.20458184302645 24
"877" -48.2518863690755 -1.32227762536375 39
"37888" -48.1764348705886 -1.20882950051786 24
"7380" -48.4233061329081 -1.36841834528279 22
"52664" -48.2367455373371 -1.29740602905869 17
"55213" -48.2718740421303 -1.39584201386044 32
"43129" -48.4167514157896 -1.37352256506153 17
"49085" -48.3082190783605 -1.27327913123724 17
"66841" -48.4243917601689 -1.36529126147025 12
"42385" -48.4077917555024 -1.17548538799162 29
"14168" -48.1530560175325 -1.20413751653847 34
"35198" -48.3838337326705 -1.2727989279206 28
"68632" -48.4424229897439 -1.13366713954642 12
"46033" -48.3641118317798 -1.15016795390172 22
"69330" -48.3564213224839 -1.21356049825418 18
"11336" -48.3644733691919 -1.20826179449577 19
"12024" -48.451236516127 -1.30247426472223 15
"56582" -48.3918694439977 -1.28425849332301 31
"59187" -48.4043536834119 -1.1724936121101 33
"48846" -48.3325011932764 -1.27051166716181 9
"49954" -48.464860674235 -1.2760925768097 26
"52573" -48.4722214558873 -1.29741193669217 19
"4537" -48.188880103734 -1.16954737665331 33
"45537" -48.3786058821777 -1.48561905862117 19
"30385" -48.2794360466679 -1.33357231563266 15
"17793" -48.3139291168663 -1.25205954223472 13
"78964" -48.4804702524406 -1.47484487782605 10
"48595" -48.4193867376972 -1.49809657712316 9
"61046" -48.5503778443715 -1.23162191866778 12
"66777" -48.4912624399252 -1.50292911947359 2
"52234" -48.3795134408238 -1.29164718697865 31
"70761" -48.2527129472144 -1.40880558403688 38
"66661" -48.4322962220198 -1.23248758433843 13
"56284" -48.3831909137446 -1.0683507331506 16
"4158" -48.400033786288 -1.43425277093108 19
"50497" -48.3529868406966 -1.17808689577924 12
"65467" -48.3902774370988 -1.21024199186851 12
"46635" -48.2652261852532 -1.11814404210611 18
"15658" -48.2859425684743 -1.21460731352849 33
"43246" -48.316524053962 -1.15207828308169 19
"52913" -48.3189330324837 -1.13500924818971 21
"40118" -48.3738477542321 -1.26915783746962 12
"62754" -48.3332953418151 -1.41931111012733 22
"64580" -48.412070583487 -1.1993700758099 18
"21484" -48.4095007038319 -1.40605374103732 23
"27462" -48.3143695579814 -1.35986364614283 32
"47085" -48.346677957945 -1.09823832980008 28
"61393" -48.3752576794143 -1.24667579035456 18
"49076" -48.398903518529 -1.45203376510224 19
"37150" -48.4105608170648 -1.18177236047038 23
"35064" -48.3742312280296 -1.15939418044035 26
"33898" -48.2870230896048 -1.24365330526071 26
"72254" -48.4113531998487 -1.12377051190706 15
"29513" -48.2846886470409 -1.35117261645233 28
"64205" -48.2822823199936 -1.4526869037566 22
"35625" -48.344596206104 -1.37772538951427 13
"28430" -48.388975835323 -1.11695412171274 18
"45403" -48.3778643474232 -1.13090909776908 28
"46673" -48.2523096144006 -1.39777396154395 24
